;RECALL;;;PRECISION;;;SUCCESSRATE;;;CATALOG COVERAGE;;
k;MNB;Tin=5;Tin=2;MNB;Tin=5;Tin=2;MNB;Tin=5;Tin=2; MNB; tin=5; tin=2
1;0,018;0,018;0,018;0,138;0,138;0,138;0,136;0,136;0,136;10.769;4.835;4.835
2;0,031;0,031;0,031;0,118;0,118;0,118;0,217;0,217;0,217;15.604;8.593;8.593
3;0,047;0,047;0,060;0,118;0,118;0,151;0,301;0,301;0,367;19.780;12.483;12.571
4;0,063;0,063;0,088;0,119;0,119;0,166;0,389;0,389;0,466;23.956;15.340;15.912
5;0,081;0,081;0,104;0,124;0,124;0,157;0,476;0,476;0,508;25.494;18.307;19.054
6;0,096;0,121;0,119;0,122;0,153;0,149;0,538;0,601;0,549;27.032;22.131;21.780
7;0,112;0,149;0,131;0,121;0,161;0,140;0,605;0,668;0,574;28.791;25.912;24.681
8;0,125;0,171;0,142;0,119;0,162;0,133;0,648;0,704;0,599;29.010;29.296;27.428
9;0,135;0,189;0,153;0,115;0,160;0,128;0,678;0,734;0,623;29.230;32.417;30.307
10;0,147;0,204;0,163;0,112;0,156;0,123;0,711;0,754;0,644;29.230;35.296;32.967
11;0,160;0,218;0,173;0,111;0,151;0,119;0,735;0,773;0,664;29.230;38.065;35.648
12;0,177;0,230;0,181;0,112;0,146;0,114;0,762;0,788;0,681;29.230;40.659;38.373
13;0,201;0,243;0,192;0,117;0,142;0,112;0,791;0,803;0,698;29.230;43.252;40.725
14;0,220;0,254;0,201;0,119;0,138;0,109;0,815;0,808;0,706;29.230;45.912;43.098
15;0,238;0,264;0,207;0,120;0,134;0,105;0,837;0,822;0,712;29.230;48.329;45.230
16;0,258;0,274;0,215;0,122;0,131;0,102;0,853;0,829;0,722;29.230;50.505;47.582
17;0,276;0,282;0,221;0,123;0,127;0,099;0,864;0,834;0,727;29.450;52.373;49.472
18;0,290;0,290;0,227;0,122;0,123;0,096;0,874;0,840;0,736;29.450;54.615;51.318
19;0,305;0,297;0,233;0,122;0,120;0,094;0,884;0,847;0,747;29.450;56.835;53.164
20;0,320;0,306;0,241;0,121;0,117;0,092;0,891;0,855;0,756;29.450;58.725;54.923
